t,q1,q2,dq1,dq2,tau1,tau2,foot_x,foot_z,dfoot_x,dfoot_z,Fz,touch,action0,action1,action2,M,B,K
0.0,0.5235987865924835,2.094395146369934,6.038219662940492e-07,-9.908625983712227e-07,2.7755576e-14,3.791482e-14,-8.972961262898593e-12,0.25,-2.709767521480444e-08,2.1452803977695112e-07,1.223858000213478e-13,0.0,-0.1265625,-0.059183262,0.7463595,4.93046872317791,235.2041844278574,1746.3595271110535
0.001,0.5235987865924835,2.094395146369934,2.233996593759002e-06,-2.6912843779314245e-06,-6.819284e-07,4.334434e-06,-1.289008344507181e-10,0.25,-2.2208856975680646e-07,5.826801441344287e-07,3.705272604292986e-05,0.0,-0.12656249,-0.059183247,0.7463596,4.930468790233135,235.2041881531477,1746.3595867156982
0.002,0.5235987865924835,2.094395146369934,4.62975091863882e-06,-4.571527131247421e-06,-5.616665e-06,9.993459e-06,-5.282907444836837e-10,0.25,-5.859968155164097e-07,9.897646435774732e-07,9.049112463799247e-05,0.0,-0.12656283,-0.05918347,0.7463593,4.930467247962952,235.20413227379322,1746.3592886924744
0.003,0.5235987865924835,2.094395146369934,7.608117942936587e-06,-6.811908252757348e-06,-1.4914066e-05,1.4478204e-05,-1.3418657296426773e-09,0.25,-1.0505409164807133e-06,1.4748214027804352e-06,0.0001481182607676601,0.0,-0.12656337,-0.0591838,0.74635893,4.930464833974838,235.20405031740665,1746.3589310646057
0.004,0.5235987865924835,2.094395146369934,1.1013571855755799e-05,-9.169884629045555e-06,-2.6934455e-05,1.9475261e-05,-2.666024290221003e-09,0.25,-1.6071575714704522e-06,1.9853381161283323e-06,0.00021454516172525473,0.0,-0.12656392,-0.05918411,0.7463585,4.9304623529314995,235.2039720863104,1746.3585138320923
0.005,0.5235987865924835,2.094395146369934,1.4733646264630806e-05,-1.1704966948400396e-05,-4.151195e-05,2.39483e-05,-4.575039902476874e-09,0.25,-2.220290866716823e-06,2.5341995524286176e-06,0.00028422523428162094,0.0,-0.12656456,-0.05918452,0.7463581,4.9304594695568085,235.20386964082718,1746.3580965995789
0.006,0.5235988333821296,2.094395146369934,1.867554329919585e-05,-1.430339210060083e-05,-5.779479e-05,2.8610986e-05,-7.120958489537088e-09,0.25,-2.8809620289393933e-06,3.0967751740718086e-06,0.000358745023731899,0.0,-0.12656522,-0.05918491,0.74635756,4.930456519126892,235.20377278327942,1746.3575601577759
0.007,0.5235988333821296,2.0943949592113498,2.2770872476485238e-05,-1.698078584695395e-05,-7.558453e-05,3.303533e-05,-1.0341785205980614e-08,0.25,-3.570120554741152e-06,3.6764475908057648e-06,0.00043551413000386674,0.0,-0.1265659,-0.05918538,0.7463571,4.930453434586525,235.20365543663502,1746.3570833206177
0.008,0.5235988801717758,2.0943949592113498,2.6964463052081553e-05,-1.968253343420656e-05,-9.442391e-05,3.7524613e-05,-1.4262531600195416e-08,0.2500000298023224,-4.280799714706518e-06,4.261393371507438e-06,0.0005149870958121028,0.0,-0.12656665,-0.059185825,0.7463565,4.930450081825256,235.20354367792606,1746.35648727417
0.009000000000000001,0.5235988801717758,2.0943949592113498,3.1215243075166656e-05,-2.240996906266446e-05,-0.000114151255,4.1903222e-05,-1.889949885480746e-08,0.2500000298023224,-5.002565330869402e-06,4.851900143876264e-06,0.0005959164354862878,0.0,-0.12656742,-0.059186332,0.746356,4.930446594953537,235.20341701805592,1746.3560104370117
